1,0439785960,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",9780439785969,,,,ES,2006/9/16,Scholastic Inc.,eng,false,331,1,2495513,9426115,2067742,33161,2005/7/16,Harry Potter and the Half-Blood Prince,book,1375181,512533,148391,23268,8369,4.56,652,Paperback,,1924767,25876,J.K. Rowling,Mary GrandPré,,,,,231114,7507,22347,"adventure,childrens,classics,contemporary,fantasy,fiction,juvenile,magic,middle-grade,mystery,novels,paranormal,romance,science-fiction-fantasy,supernatural,teen,urban-fantasy,witches,young-adult"
6,,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",,,,,ES,2002/9/28,Scholastic,eng,false,376,6,2803290,9841348,2164488,38168,2000/7/8,Harry Potter and the Goblet of Fire,book,1415535,554180,165089,22002,7682,4.55,734,Paperback,First Scholastic Trade Paperback Edition,2008941,29204,J.K. Rowling,Mary GrandPré,,,,,188894,8983,39787,"adventure,childrens,classics,contemporary,fantasy,fiction,juvenile,magic,middle-grade,mystery,novels,paranormal,science-fiction-fantasy,supernatural,teen,urban-fantasy,witches,young-adult"
11,,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",,,,,ES,2017/1/1,Del Rey Books,eng,false,306,386162,1838174,5089549,1206984,25179,1979/10/12,The Hitchhiker's Guide to the Galaxy,book,606192,356199,170094,49012,25487,4.22,216,Mass Market Paperback,,944114,15793,Douglas Adams,,,,,,4591,2333,19249,"adult,adult-fiction,adventure,aliens,british-literature,classics,comedy,contemporary,fantasy,fiction,funny,humor,literature,modern-classics,novels,science,science-fiction,science-fiction-fantasy,speculative-fiction,unfinished,young-adult"
16,0739322206,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",9780739322208,,,,ES,2005/3/23,Random House Audio,eng,false,306,386162,1838174,5089549,1206984,25179,1979/10/12,The Hitchhiker's Guide to the Galaxy,book,606192,356199,170094,49012,25487,4.22,6,Audio CD,Unabridged,1211,251,Douglas Adams,,,,,Stephen Fry,4591,2333,19249,"adult,adult-fiction,adventure,aliens,british-literature,classics,comedy,contemporary,fantasy,fiction,funny,humor,literature,modern-classics,novels,science,science-fiction,science-fiction-fantasy,speculative-fiction,unfinished,young-adult"
21,076790818X,A Short History of Nearly Everything,9780767908184,,,,ES,2004/9/14,Broadway Books,eng,false,180,21,526225,1030288,245131,10558,2003/5/6,A Short History of Nearly Everything,book,113856,84227,34363,8326,4359,4.20,544,Paperback,First Trade Paperback Edition,225426,8744,Bill Bryson,,,,,William Roberts,243426,656,16787,"adult,american,anthropology,education,essays,fiction,funny,historical,history,humor,nature,non-fiction,philosophy,reference,science,travel,unfinished"
26,0060920084,The Lost Continent: Travels in Small Town America,9780060920081,,,,ES,1990/8/28,William Morrow Paperbacks,en-US,false,49,26,83685,176533,46068,2402,1989/1/1,The Lost Continent: Travels in Small-Town America,book,13143,17446,11304,2947,1228,3.83,299,Paperback,,43535,2132,Bill Bryson,,,,,,31770,105,855,"adult,adventure,american,americana,autobiography,biography,biography-memoir,comedy,contemporary,essays,fiction,funny,history,humor,memoir,non-fiction,travel,unfinished,writing"
31,0618517650,"The Lord of the Rings (The Lord of the Rings, #1-3)",9780618517657,,,,ES,2004/10/21,Houghton Mifflin Harcourt,eng,false,460,33,750106,2217502,493863,10537,1955/10/20,The Lord of the Rings,book,319191,118202,40981,10307,5182,4.49,1184,Hardcover,50th Anniversary Edition,1659,90,J.R.R. Tolkien,,,,,,154195,990,20448,"adult,adult-fiction,adventure,british-literature,classic-literature,classics,english-literature,epic,epic-fantasy,fantasy,fiction,high-fantasy,literature,magic,modern-classics,mythology,novels,science-fiction,science-fiction-fantasy,speculative-fiction,unfinished,war,young-adult"
36,0618391002,The Lord of the Rings: Weapons and Warfare,9780618391004,,,,ES,2003/11/5,Houghton Mifflin Harcourt,eng,false,12,36,23239,86282,19061,50,2003/9/1,The Lord of the Rings: Weapons and Warfare,book,13116,3762,1589,293,301,4.53,218,Paperback,,18918,43,,,Richard Taylor,Chris   Smith,,,3654,5,23,"adult,art,classics,fantasy,fiction,film,high-fantasy,movies,non-fiction,reference,research,science-fiction-fantasy,war"
46,1932394745,Ruby Quickly: Ruby and Rails for the Real World,9781932394740,,,,ES,2006/8/1,Manning Publications,,false,1,46,22,17,5,0,2006/8/1,Ruby Quickly: Ruby and Rails for the Real World,book,2,0,2,0,1,3.40,360,Paperback,,5,0,Mark   Watson,,,,,,7,0,1,
51,1557344493,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",9781557344496,,,,ES,1994/8/28,Teacher Created Resources,eng,false,1,51,65,139,35,2,1994/8/28,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",book,17,8,5,2,3,3.97,48,Paperback,,35,2,"Donna Ickes,Edward Sciranko",Keith Vasconcelles,,,,,14,0,,fiction
