400006,0811728536,John Gill: Master of Rock PB,9780811728539,,,,ES,1998/6/1,National Book Network,,false,4,400006,53,54,17,0,1977/1/1,"John Gill: Master of Rock (Climbing Classics , No 2)",,1,7,5,2,2,3.18,2,Paperback,,15,0,"John       Gill,Pat Ament",,,,,,23,0,1,
400011,0747403473,The Deceivers,9780747403470,,,,ES,1988/9/15,Sphere Books,eng,false,17,400011,499,867,217,17,1952/1/1,The Deceivers ,book,68,94,43,10,2,4.00,320,Paperback,,163,12,John Masters,,,,,,234,8,7,"adventure,canon,fiction,historical,historical-fiction,history,mystery,suspense,theology"
400016,0316113484,"Unforgettable (It Girl, #4)",9780316113489,,,,ES,2007/6/1,Poppy Books,,false,19,400016,9072,19506,5138,88,2007/6/1,"Unforgettable (It Girl, Book 4)",book,1510,1610,1569,360,89,3.80,288,Paperback,,4941,81,,,,,,,2222,28,30,"chick-lit,contemporary,drama,fiction,high-school,realistic-fiction,relationships,romance,school,teen,young-adult"
400021,0919359205,"Form and Void (Cerebus, #14)",9780919359208,,,,ES,,,,false,1,400021,535,1121,349,18,2001/6/30,Cerebus Book 14: Form & Void (Going Home Volume II),book,58,82,113,68,28,3.21,,,,349,18,"Dave Sim,Gerhard",,,,,,119,6,,"art,biography,comedy,comics,fantasy,fiction,graphic-novels,graphic-novels-comics,humor,literature,novels,philosophy,politics,religion"
400026,2825413941,Axis of Peace: Christian Faith in Times of Violence and War,9782825413944,,,,ES,2004/9/1,World Council of Churches,,false,1,400026,5,5,1,0,2004/9/1,Axis Of Peace: Christian Faith In Times Of Violence And War,,1,0,0,0,0,5.00,137,Paperback,,1,0,S. Wesley Ariarajah,,,,,,4,0,,
400031,188802108X,The Long Trail Guide: Hiking Vermont's High Ridge,9781888021080,,,,ES,,,,false,2,400031,33,56,14,1,2003/6/1,The Long Trail Guide: Hiking Vermont's High Ridge,,4,6,4,0,0,4.00,,,,14,1,Green Mountain Club,,,,,,12,0,2,"nature,non-fiction,reference"
400046,1413489257,The Yucatan-from Prehistoric Times to the Great Maya Revolt: A Narrative History of the Origin of Maya Civilization And the Epic Encounter With Spanish Conquest,9781413489255,,,,ES,2005/7/29,Xlibris Corporation,,false,1,400046,1,0,0,0,2005/7/29,The Yucatan-from Prehistoric Times to the Great Maya Revolt: A Narrative History of the Origin of Maya Civilization And the Epic Encounter With Spanish Conquest,,0,0,0,0,0,0.00,496,Paperback,,0,0,Douglas Peck,,,,,,1,0,,
400051,0060505958,Snowboard Twist,9780060505950,,,,ES,2004/10/1,Katherine Tegen Books,,false,4,2661468,56,73,23,5,2004/10/1,Snowboard Twist (Outdoor Adventures),book,3,5,8,7,0,3.17,32,Hardcover,,4,2,Jean Craighead George,Wendell Minor,,,,,22,4,,"childrens,picture-books"
400056,0879820314,Susan Kahn: With a critical essay,9780879820312,,,,ES,,,,false,1,400056,1,0,0,0,1980/1/1,Susan Kahn: With a critical essay,,0,0,0,0,0,0.00,,,,0,0,"Lincoln Rothschild,Susan Kahn",,,,,,1,0,,
400061,1402738951,Celebrating Board Games,9781402738951,,,,ES,2006/10/2,Sterling,,false,1,400061,37,52,18,7,2006/10/2,Celebrating Board Games (Collectibles),,1,3,8,5,1,2.89,144,Hardcover,,18,7,"Nina Chertoff,Susan Kahn",,,,,,10,0,,"art,non-fiction"
400066,0395758327,The Library of Alexandria,9780395758328,,,,ES,2003/11/17,Clarion Books,,false,4,400066,344,217,59,11,2003/1/1,The Library of Alexandria,book,13,20,20,6,0,3.68,80,Hardcover,,57,11,Kelly Trumble,Robina MacIntyre Marshall,,,,,160,5,42,"education,historical,history,non-fiction,picture-books,reference,research,young-adult"
